,dom_medical,dom_social,train_scratch,size,dom_general,model,arc,f1
789,0.0,0.0,1.0,2.0,1.0,XLNET,2.0,0.7884615384615383
790,0.0,0.0,1.0,2.0,1.0,XLNET,2.0,0.7922272047832586
791,0.0,0.0,1.0,2.0,1.0,XLNET,2.0,0.7897102897102897
792,0.0,0.0,1.0,2.0,1.0,XLNET,2.0,0.7880434782608696
793,0.0,0.0,1.0,2.0,1.0,XLNET,2.0,0.7968047928107838
794,0.0,0.0,1.0,2.0,1.0,XLNET,2.0,0.7967562088190574
795,0.0,0.0,1.0,2.0,1.0,XLNET,2.0,0.7918122815776335
796,0.0,0.0,1.0,2.0,1.0,XLNET,2.0,0.7950124688279303
797,0.0,0.0,1.0,2.0,1.0,XLNET,2.0,0.7922409392547217
798,0.0,0.0,1.0,2.0,1.0,XLNET,2.0,0.7870416875941737
799,0.0,0.0,1.0,2.0,1.0,XLNET,2.0,0.7916034395548811
800,0.0,0.0,1.0,2.0,1.0,XLNET,2.0,0.7872233400402414
801,0.0,0.0,1.0,2.0,1.0,XLNET,2.0,0.7929471032745592
802,0.0,0.0,1.0,2.0,1.0,XLNET,2.0,0.7961213326703133
803,0.0,0.0,1.0,2.0,1.0,XLNET,2.0,0.8010204081632654
804,0.0,0.0,1.0,2.0,1.0,XLNET,2.0,0.779718583212033
805,0.0,0.0,1.0,2.0,1.0,XLNET,2.0,0.7888167748377433
806,0.0,0.0,1.0,2.0,1.0,XLNET,2.0,0.7888386123680241
807,0.0,0.0,1.0,2.0,1.0,XLNET,2.0,0.7967725668179526
808,0.0,0.0,1.0,2.0,1.0,XLNET,2.0,0.7876643073811932
809,0.0,0.0,1.0,2.0,1.0,XLNET,2.0,0.780463739516527
810,0.0,0.0,1.0,2.0,1.0,GPT2,2.0,0.17053065430190623
811,0.0,0.0,1.0,2.0,1.0,GPT2,2.0,0.33402203856749313
812,0.0,0.0,1.0,2.0,1.0,GPT2,2.0,0.2889733840304182
813,0.0,0.0,1.0,2.0,1.0,GPT2,2.0,0.27868020304568525
814,0.0,0.0,1.0,2.0,1.0,GPT2,2.0,0.20939334637964774
815,0.0,0.0,1.0,2.0,1.0,GPT2,2.0,0.2573981016192072
816,0.0,0.0,1.0,2.0,1.0,GPT2,2.0,0.20502092050209206
817,0.0,0.0,1.0,2.0,1.0,GPT2,2.0,0.18018018018018017
818,0.0,0.0,1.0,2.0,1.0,GPT2,2.0,0.2545683679899181
819,0.0,0.0,1.0,2.0,1.0,GPT2,2.0,0.19330855018587362
820,0.0,0.0,1.0,2.0,1.0,GPT2,2.0,0.2405475880052151
821,0.0,0.0,1.0,2.0,1.0,GPT2,2.0,0.3236870310825295
822,0.0,0.0,1.0,2.0,1.0,GPT2,2.0,0.23311748381128583
823,0.0,0.0,1.0,2.0,1.0,GPT2,2.0,0.34292866082603257
824,0.0,0.0,1.0,2.0,1.0,GPT2,2.0,0.2447790189412336
825,0.0,0.0,1.0,2.0,1.0,GPT2,2.0,0.21652719665271966
826,0.0,0.0,1.0,2.0,1.0,GPT2,2.0,0.23131357806280406
827,0.0,0.0,1.0,2.0,1.0,GPT2,2.0,0.19385637193856373
828,0.0,0.0,1.0,2.0,1.0,GPT2,2.0,0.27131258457374835
829,0.0,0.0,1.0,2.0,1.0,GPT2,2.0,0.25245098039215685
830,0.0,0.0,1.0,2.0,1.0,GPT2,2.0,0.30370370370370375
831,0.0,0.0,1.0,2.0,1.0,GPT2,2.0,0.26443100604727876
832,0.0,0.0,1.0,2.0,1.0,GPT2,2.0,0.17246376811594205
833,0.0,0.0,1.0,2.0,1.0,GPT2,2.0,0.28521332554061957
834,0.0,0.0,1.0,2.0,1.0,GPT2,2.0,0.2722305017386985
835,0.0,0.0,1.0,2.0,1.0,GPT2,2.0,0.26912181303116145
836,0.0,0.0,1.0,2.0,1.0,GPT2,2.0,0.17207572684246114
837,0.0,0.0,1.0,2.0,1.0,GPT2,2.0,0.26459948320413434
838,0.0,0.0,1.0,2.0,1.0,GPT2,2.0,0.264277035236938
839,0.0,0.0,1.0,2.0,1.0,GPT2,2.0,0.16170578133943903
840,0.0,0.0,1.0,3.0,1.0,T5,3.0,0.6420014094432699
841,0.0,0.0,1.0,3.0,1.0,T5,3.0,0.6186012977649603
842,0.0,0.0,1.0,3.0,1.0,T5,3.0,0.6217765042979942
843,0.0,0.0,1.0,3.0,1.0,T5,3.0,0.6311418685121107
